frowning,fraʊnɪɳ
elementary geometry,ɛlʌmɛntrigiʌmɛtri
hoyden,hɔɪdʌn
tailrace,teɪlreɪs
sirenidae,saɪrʌnɪdeɪ
chinked,tʃɪɳkt
calendula,kʌlɛdʒʌlʌ
genus iris,dʒɛnjʌsaɪrɪs
borsch,bɔrʃ
rarity,rɛrʌti
chemical operations,kɛmɪkʌlɔpɜeɪʃʌnz
principle of superposition,prɪnsʌpʌlɔfsupɜpʌzɪʃʌn
yellow jack,jɛloʊdʒæk
segal,sigʌl
patriarchate,peɪtriɑrkʌt
unclaimed,ʌnkleɪmd
lie around,liɜaʊnd
colorlessness,kʌlɜlʌsnʌs
orizaba,ɔrizɑbʌ
timer,taɪmɜ
times,taɪmz
acute myeloid leukemia,ʌkjutɪmaɪɪlɔɪdlukimiʌ
pericarditis,pɛrɪkɑrditɪs
cancer borealis,kænsɜbɔriælʌs
flux,flʌks
kotar,kʌtɑr
go about,goʊʌbaʊt
becalm,bɪkɑm
jolted,dʒoʊltɪd
caboose,kʌbus
condyle,kɑndɪl
primary amenorrhea,praɪmɛrjɑmɛnɜiʌ
rhinorrhea,raɪnɜiʌ
virginia thimbleweed,vɜdʒɪnjʌθɪmbʌlwid
flub,flʌb
bruxism,brʌksɪzʌm
streptocarpus,strɛptʌkɑrpʌs
bachelor,bætʃlɜ
flue,flu
porcine,pɔrtʃini
siddhartha,sɪdɑrtʌ
mispronounce,mɪsprʌnaʊns
appleton,æpʌltʌn
counterpose,kaʊntɜpoʊz
calla lily,kælʌlʌli
sacred lotus,seɪkrɪdlɑtʌs
harness,hɑrnʌs
department of energy intelligence,dɪpɑrtmɛntoʊfɛnɜdʒiɪntɛlʌdʒʌns
sketch,skɛtʃ
swamp cottonwood,swɑmpkɑtʌnwʊd
crown daisy,kraʊndeɪzi
cubic kilometer,kjubɪkʌlɑmʌtɜ
elapsed time,ɪlæpsɛdtaɪm
indicative mood,ɪndɪkʌtɪvmud
genus saururus,dʒɛnjʌsɔrʊrʌs
okapia johnstoni,oʊkɑpiʌdʒɑnstoʊni
radiotherapist,reɪdioʊθɛrʌpɪst
bookfair,bʊkfɛr
galilaean,gælʌliʌn
onomatopoetic,ɑnʌmætʌpoʊɛtɪk
agathis alba,ægʌθɪsɑlbʌ
artaxerxes ii,ɑrtæksɜksizi
beautiful,bjutʌfʌl
eventual,ʌvɛntʃuʌl
genus ailurus,dʒɛnjʌseɪlʊrʌs
genus sison,dʒɛnʌsɪsʌn
notation,noʊteɪʃʌn
semisweet,sɛmɪswit
ardisia paniculata,ɑrdɪʒʌpænɪkjʌlʌtʌ
latin alphabet,lætʌnælfʌbɛt
consanguineal,kʌnsæɳgwɪniʌl
huntington,hʌntɪɳtʌn
palsy,pɔlzi
mogadiscio,moʊgʌdistʃoʊ
bishkek,bɪʃkɛk
american bison,ʌmɛrʌkænbɪsʌn
bettor,bɛtɜ
genus heteroscelus,dʒɛnjʌʃɛtɜɑsʌlʌs
spirit stove,spɪrɪtstoʊv
procaviidae,proʊkɑvideɪ
tracery,treɪsɜi
vireonidae,vɜiɔnɪdeɪ
two-dimensional,twɑdʌmɛntʃʌnʌl
maksutov telescope,mæksutoʊvtɛlɛskoʊp
round-bottomed,raʊndbɑtʌmd
gorgonian coral,gɔrgoʊniʌnkɔrʌl
samoan islands,sʌmoʊʌnɪslʌndz
archery,ɑrtʃɜi
charles kettering,tʃɑrlskɛtɜɪɳ
anaconda,ænʌkɑndʌ
air-conditioned,ɛrkʌndɪʃʌnd
homopterous insect,hʌmɑptɜʌzinsɛkt
florence fennel,flɔrɛnsfɛnʌl
genus gentianopsis,dʒɛnjʌzdʒɛnʃʌnɑpsɪs
counterchange,kaʊntɜtʃeɪndʒ
rib cage,ribkeɪdʒ
solresol,soʊlrisɔl
zarpanit,zɑrpænɪt
lockstitch,lɑkstɪtʃ
bring to bear,brɪɳtoʊbɛr
pan troglodytes,pæntrɑglʌdaɪts
quarter sessions,kwɔrtɜɛʃʌnz
oxytone,ɑksʌtoʊn
kitchen,kɪtʃʌn
animal toxin,ænʌmʌltɑksɪn
force out,fɔrsaʊt
ambrosia artemisiifolia,æmbroʊzʌɑrtɪmɪsiifoʊliʌ
cedar rapids,sidɜræpɪdz
vasarely,væsɛrli
shop assistant,ʃɑpʌsɪstʌnt
handbasin,hændbæsɪn
antivenene,æntivɛnin
ipomoea alba,aɪpoʊmoʊiɑlbʌ
nominal damages,nɑmʌnʌldæmʌdʒʌz
closed interval,kloʊzdaɪntɜvʌl
punitively,pʌnɪtɪvli
bendable,bɛndʌbʌl
myocastor coypus,maɪʌkæstɜkʌpʊs
carburettor,kɑrbjɜɛtɜ
wedding licence,wɛdɪɳlɪsʌns
neurosyphilis,nʊroʊsɪfʌlɪs
bombyx mori,bɑmbɪksmɔri
human ecology,hjumænʌkɑlʌdʒi
terrestrial,tɜɛstriʌl
recessional,risɛʃʌnʌl
epigastric artery,ɛpʌgɑstrɪkɑrtɜi
son-in-law,sɑnɪnlɔ
little club moss,lɪtʌlklʌbmɔs
barranquilla,bɑræɳkwɪlʌ
dunce,dʌns
trade route,treɪdɜut
mercury cell,mɜkjɜisɛl
hermaphrodite brig,hɜmæfrʌdaɪtibrɪg
matteuccia struthiopteris,mɑtutʃɑstruθioʊptrʌs
camphor tree,kæmfɜtri
lepidodendraceae,lɛpɪdʌdɛndrʌseɪɑ
riyal,rijɑl
trisect,trɪsɛkt
wheatfield,witfild
tart up,tɑrtʌp
tai dam,teɪdʌm
assume,ʌsum
dovetail plane,dʌvteɪlpleɪn
luminance,lumʌnʌns
mistletoe family,mɪsʌltoʊfæmʌli
familiarisation,fʌmɪljɜaɪzeɪʃʌn
sir john herschel,sɜdʒɑnhɜʃʌl
credit line,krɛdʌtlaɪn
intercede,ɪntɜsid
light cream,laɪtkrim
tapering off,teɪpɜɪngɔf
piezoelectric,paɪʌzoʊʌlɛktrɪk
dissection,daɪsɛkʃʌn
latria,lʌtriʌ
nail removal,neɪlrɪmuvʌl
mobbish,mɑbɪʃ
order zygnemales,ɔrdɜzaɪgnmeɪlz
chessman,tʃɛsmʌn
give the sack,gɪvʌθɪsæk
grenada dollar,grɪneɪdʌdɑlɜ
milking shorthorn,mɪlkɪɳʃɔrthɔrn
spitfire,spɪtfaɪr
blue ribbon commission,blurɪbʌnkʌmɪʃʌn
northern pocket gopher,nɔrðɜnpɑkʌtgɑfɜ
trouble maker,trʌbʌlmeɪkɜ
genus solidago,dʒɛnusoʊlidɑgoʊ
vomitive,vɑmʌtɪv
lipfern,lɪpfɜn
automatize,ɔtɑmʌtaɪz
side chapel,saɪdkæpʌl
aerolitic,ɛroʊlɪtɪk
balking,bɔkɪɳ
cursive,kɜsɪv
apodidae,æpʌdaɪdeɪ
genus pyrularia,dʒɛnjʌspirʌlɛriʌ
vellicate,vɛlʌkeɪt
ligustrum obtusifolium,laɪgʌstrʌmʌbtusʌfoʊliʌm
deferment,dɪfɜmʌnt
bel and the dragon,bɛlʌndθɪdrɑgɔn
mezuza,mʌzʊzʌ
marvel,mɑrvʌl
comradeship,kɑmrædʃɪp
far and wide,fɜændwaɪd
simon newcomb,saɪmʌnnukʌm
ventilation shaft,vɛntʌleɪʃʌnʃæft
dolichos biflorus,doʊlɪkoʊsbɪflɔrʌs
enfranchise,ɛnfræntʃaɪz
rebecca,rʌbɛkʌ
cold cream,koʊldkrim
family cuterebridae,fæmʌlikjutɜibrɪdeɪ
abkhasian,æbkɑʒɪn
cone-bearing,koʊnbɛrɪɳ
genus cinnamomum,dʒɛnjʌskɪnʌmʌmʌm
monte bianco,mɑntɪbiɑnkoʊ
sesame family,sɛsʌmifæmʌli
impracticality,ɪmpræktɪkælʌti
vermillion,vɜmɪljʌn
genus lyonia,dʒinʌslioʊniʌ
specifically,spʌsɪfɪkli
vomiting,vɑmʌtɪɳ
roman catholic pope,roʊmænkæθlɪkpoʊp
houseful,haʊsfʌl
swedish turnip,swidɪʃtɜnɪp
latinate,lætʌneɪt
aegilops,idʒʌlɑps
monochromatic,mɑnʌkroʊmætɪk
tyramine,tɪrʌmaɪn
dexterously,dɛkstɜʌsli
outpoint,aʊtpɔɪnt
mesophytic,mɛsʌfɪtɪk
genus spartium,dʒɛnjʌspɑrʃiʌm
shrimpy,ʃrɪmpi
lithophytic,lɪθʌfɪtɪk
genus caragana,dʒɛnjʌskɜɑgænʌ
tolstoy,toʊlstɔɪ
genus glaux,dʒɛnjʌsgloʊ
pro-life,proʊlɪf
file in,fɪlaɪn
introspection,ɪntrʌspɛkʃʌn
cliff diving,klɪfdaɪvɪɳ
genus latimeria,dʒinʌslætʌmɜiʌ
rhomboid muscle,rɑmbɔɪdmʌskʌl
noctiluca miliaris,nɑktɪlukʌmɪljɛrʌs
indomethacin,ɪndɑmʌθeɪsɪn
addison's disease,ʌdɪsʌzdɪziz
chelidonium,tʃɛlidoʊniʌm
cockney,kɑkni
congressman,kɑɳgrʌsmʌn
europium,jʊroʊpiʌm
assure,ʌʃʊr
jolson,dʒoʊlsʌn
neuropile,nʊroʊpaɪl
candida,kændɪdʌ
prairie sunflower,prɛrisʌnflaʊɜ
female chest,fimeɪltʃʌst
hussar monkey,hʌsɜmʌɳki
melchite,mɛltʃaɪt
blacktopping,blæktɑpɪɳ
couch grass,kaʊtʃgræs
carbon 14,kɑrbʌnətɔr
linelike,laɪnlaɪk
euphorbia antisyphilitica,jufɔrbiɑntɪsɪfɪlɪtɪkʌ
genus hippocrepis,dʒɛnʌʃɪpʌkrɛpɪs
tribulate,trɪbjʌleɪt
cnossus,siɛɑsʌs
f.i.s.c.,fɪsk
cutting implement,kʌtɪɳgɪmplʌmʌnt
window box,wɪndoʊbɑks
earldom,ɜldʌm
candied,kændid
araguaia,ɑrɑgwɑjʌ
cornucopia,kɔrnʌkoʊpiʌ
tearing down,tɛrɪɳdaʊn
order geraniales,ɔrdɜgɛʌnaɪʌlz
pistol-whip,pɪstʌlwɪp
housemate,haʊsmeɪt
alexander alexandrovich blok,ælʌgzændɜælɪgzændroʊvɪtʃblɑk
horny layer,hɔrnʌleɪɜ
provencal,proʊvɛnkʌl
staff officer,stæfɔfʌsɜ
melchior,meɪltʃiɜ
gun carriage,gʌnkærɪdʒ
unvarying,ʌnvɛriɪɳ
poseur,poʊzɜ
sunrise industry,sʌnraɪziɪndʌstri
artaxerxes,ɑrtæksɜksiz
harelip,hærɪlɪp
miniature poodle,mɪniʌtʃʊrpudʌl
cup hook,kʌphʊk
pennisetum cenchroides,pɛnisitʌmtʃɛntʃrɔɪdz
fulgent,fʌldʒʌnt
burseraceae,bɜsɜʌseɪɑ
tubercle,tʌbɜkʌl
sabre-toothed,seɪbɜtuθt
somali peninsula,sʌmɑlipʌnɪnsʌlʌ
diabetic acidosis,daɪʌbɛtɪkæsʌdoʊsʌs
jezebel,jɪzɛbʌl
purple grackle,pɜplʌgrækʌl
symphilid,sɪmfʌlɪd
segregationism,sɛgrʌgeɪʃʌnɪzʌm
wave train,weɪvtreɪn
scroll saw,skroʊlsɔ
fire marshal,faɪrmɑrʃʌl
aporocactus,ʌpɔroʊkæktʌs
ownerless,oʊnɜlʌs
vituperate,vaɪtupɜʌt
exotic,ɪgzɑtɪk
resistive,rɪzɪstɪv
segregationist,sɛgrʌgeɪʃʌnɪst
introduction,ɪntrʌdʌkʃʌn
overtone,oʊvɜtoʊn
novelisation,nɑvʌlʌzeɪʃʌn
tilth,tɪlθ
caesium,siziʌm
viktor lvovich korchnoi,vɪktɜlvʌvɪtʃkɔrknɔɪ
out or keeping,aʊtɔrkipɪɳ
intemperance,ɪntɛmpɜʌns
moss green,mɔsgrin
praetorian guard,pritɔriængɑrd
catechismal,kætʌkɪzmʌl
threads,θrɛdz
plinian eruption,plɪniʌnɛrʌpʃʌn
gingerbread,dʒɪndʒɜbrɛd
thready,θrɛdi
malfeasance,mælfizʌns
ichthyolatry,aɪkθaɪɑlʌtri
pteridophyte,tɛrɪdʌfaɪt
work time,wɜktaɪm
venomous lizard,vɛnʌmʌslɪzɜd
pteridophyta,tɪridoʊfɪtʌ
vena gastrica,vɛnʌgɑstrɪkʌ
cookie sheet,kʊkiʃit
antitumor,æntʌtumɜ
give one's best,gɪvʌnʌsbɛst
galere,gælɜ
gregorian chant,grɛgɔriæntʃʌnt
guinea corn,gɪnikɜn
flowering plant,flaʊɜɪɳplænt
noncommissioned,nɑnkʌmɪʃʌnd
in short order,ɪnʃɔrtɔrdɜ
gangland,gæɳglʌnd
millwheel,mɪlwil
exemplar,ɪgzɛmplɜ
mercury fulminate,mɜkjɜifʌlmɪneɪt
glee club,gliklʌb
servitude,sɜvʌtud
mountain phlox,maʊntʌnflɑks
dismantlement,dɪsmæntʌlmʌnt
carefully,kɛrfʌli
high-mindedly,haɪmaɪndɪdli
abadan,ʌbɑdʌn
melaena,meɪleɪnʌ
partisanship,pɑrtʌzʌnʃɪp
permeableness,pɜmiʌbʌlnʌs
buyer,baɪɜ
mental imagery,mɛntælʌmɪdʒri
shylock,ʃaɪlɑk
paradoxurus,pɛrʌdɑksjʊrʌs
radial vein,reɪdiʌlveɪn
dulse,dʌls
munitions industry,mjunɪʃʌnsɪndʌstri
calvino,kɑlvinoʊ
astronautical,æstrʌnɑtɪkʌl
ablepharia,ʌblɛfɜiʌ
algarobilla,ælgɑroʊbɪlʌ
agent provocateur,eɪdʒʌntprɑvʌkʌtɜ
average,ævɜɪdʒ
division protista,dɪvɪʒʌnproʊtistʌ
unfinished business,ʌnfɪnɪʃɪdbɪznʌs
substandard,sʌbstændɜd
edulcorate,ɛdʒʌlkɜeɪt
gilles de la tourette,gɪlɪsdʌlætʊrɛt
cordage,kɔrdʌdʒ
studbook,stʌdbʊk
virucidal,vɪrusaɪdʌl
alphanumerics,ælfʌnumɛrɪks
ogee,ɑgi
35th,riwʌθ
current intelligence,kɜʌntɪntɛlʌdʒʌns
elijah,ɛlaɪdʒʌ
journal,dʒɜnʌl
palas,pælʌz
mountain rose,maʊntɪnroʊz
palau,pælaʊ
university of washington,junʌvɜsʌtiɑfwɑʃɪɳtʌn
trews,truz
caledonia,kælɪdoʊniʌ
anagallis,ænʌgælɪs
horned asp,hɔrnʌdæsp
photoconductive,foʊtoʊkʌndʌktɪv
ball carrier,bɔlkærjɜ
business,bɪznʌs
small ship,smɔlʃɪp
plainspoken,pleɪnspoʊkʌn
chytridiomycetes,tʃɪtrɪdioʊmaɪsits
nan ling,nænlɪɳ
balsam,bɔlsʌm
genus lonas,dʒinʌsloʊnɑz
borrow,bɑroʊ
firedamp,faɪɜdæmp
confectioner,kʌnfɛkʃʌnɜ
baroness dudevant,bɛrʌnɪsdudɪvʌnt
poignance,pɔɪnjʌns
columbian mammoth,kʌlʌmbiʌnmæmʌθ
marupa,mɑrupʌ
acclivitous,æklɪvʌtʌs
governing board,gʌvɜnɪɳbɔrd
monarda pectinata,mɑnɑrdʌpɛktʌnɑtʌ
express luxury liner,ɪksprɛslʌgʒɜilaɪnɜ
zostera,zɑstɛrʌ
abrading stone,ʌbreɪdɪɳstoʊn
poignancy,pɔɪnjʌnsi
unicuspid,junaɪkʌspʌd
rockwell,rɑkwɛl
bachelor of naval science,bætʃlɜɑfnʌvɑlsaɪʌns
massager,mʌsɑʒɜ
reconvene,rikʌnvin
esprit de corps,ɛspridʌkɔrps
showily,ʃoʊɪli
family araceae,fæmʌljɑrɑseɪɑ
chartered,tʃɑrtɜd
journey,dʒɜni
potamogetonaceae,poʊtæmʌdʒɛtʌneɪʃʌ
bottom quark,bɑtʌmkwɑrk
doctor of osteopathy,dɑktɜɑfɑstiʌpæθi
casque,kæsk
stock market index,stɑkmɑrkɪtɪndɛks
observed fire,ʌbzɜvʌdfaɪr
cnossos,knoʊsoʊs
banzai attack,bɑnzɑiʌtæk
turn up the heat,tɜnʌpθihit
carpenter ant,kɑrpʌntɜʌnt
narrowing,nɛroʊɪɳ
fluorosis,flʊroʊsʌs
vigilante,vɪdʒʌlænti
calving,kævɪɳ
epanodos,ɛpʌnoʊdoʊz
lake chelan,leɪkkɛlʌn
unreleased,ʌnrɪlist
carlina,kɑrlinʌ
family cactaceae,fæmʌlikækteɪʃʌ
holidaymaker,hɑlʌdeɪmeɪkɜ
isoptin,ɪsɑptɪn
destress,dɪstrɪs
blue devils,bludɛvʌlz
life line,laɪflaɪn
bertillon,bɜtɪlɑn
tress,trɛs
wingstem,wɪɳstɛm
pitty-pat,pɪtipæt
taricha,tɑrɪtʃʌ
cloudiness,klaʊdinɪs
pitcherful,pɪtʃɜfʌl
rastafari,ræstʌfɑri
bullet vote,bʊlʌtvoʊt
come to light,kɑmʌtɑlaɪt
fiendish,findɪʃ
showing,ʃoʊɪɳ
christian name,krɪstiænʌm
chill out,tʃɪlaʊt
angora,æɳgɔrʌ
industrialized,ɪndʌstriʌlaɪzd
disfiguration,dɪsfɪgjɜeɪʃʌn
luridness,lʊrʌdnʌs
attempt,ʌtɛmpt
fmri,fmri
victor hess,vɪktɜɪs
mallophaga,mælɑfʌgʌ
tiler,taɪlɜ
greyback,greɪbæk
re-enter,riɪntɜ
ectotherm,ɛktʌθɜm
head honcho,hɛdhɑntʃoʊ
gasoline station,gæsʌlinsteɪʃʌn
cosmotron,kɔzmʌtrɑn
hardscrabble,hɑrdskræbʌl
mflop,mflɑp
devil's advocate,dɛvʌlzʌdvʌkeɪt
kamikaze,kɑmʌkɑzi
hold open,hoʊldoʊpʌn
conciliation,kʌnsɪlieɪʃʌn
wrap up,ræpʌp
chlamydia psittaci,klæmaɪdiʌpsɪtɑtʃi
filmed,fɪlmd
inorganic,ɪnɔrgænɪk
zechariah,zɛkɜaɪʌ
lactase deficiency,lækteɪsidɪfɪʃʌnsi
roundedness,raʊndʌdnʌs
pally,pæli
rear window,rɪrwɪndoʊ
screen saver,skrinseɪvɜ
cryptogam,krɪptoʊgʌm
